x,y,psi,kappa,v
4.8075,11.2472,-1.9438,10.6871,2.5001
4.8066,11.2449,-1.9179,10.309,2.5001
4.8059,11.2426,-1.8925,9.9296,2.5001
4.8051,11.2402,-1.8679,9.5514,2.5001
4.8044,11.2377,-1.8438,9.1763,2.5001
4.8038,11.2353,-1.8204,8.8064,2.5001
4.8032,11.2327,-1.7976,8.4431,2.5001
4.8027,11.2301,-1.7754,8.0877,2.5001
4.8022,11.2275,-1.7539,7.7414,2.5001
4.8018,11.2248,-1.733,7.405,2.5001
4.8014,11.2221,-1.7127,7.0792,2.5001
4.801,11.2193,-1.693,6.7645,2.5001
4.8007,11.2165,-1.6739,6.4611,2.5001
4.8005,11.2136,-1.6553,6.1694,2.5001
4.8003,11.2106,-1.6374,5.8893,2.5001
4.8001,11.2077,-1.6199,5.6209,2.5001
4.8,11.2046,-1.603,5.3641,2.5001
4.8,11.2016,-1.5867,2.5593,2.5001
4.8,11.1984,-1.5708,2.5593,2.5001
4.8,11.1954,-1.5867,5.3641,2.5001
4.7999,11.1923,-1.603,5.6209,2.5001
4.7997,11.1894,-1.6199,5.8893,2.5001
4.7995,11.1864,-1.6374,6.1694,2.5001
4.7993,11.1835,-1.6553,6.4611,2.5001
4.799,11.1807,-1.6739,6.7645,2.5001
4.7986,11.1779,-1.693,7.0792,2.5001
4.7982,11.1752,-1.7127,7.405,2.5001
4.7978,11.1725,-1.733,7.7414,2.5001
4.7973,11.1699,-1.7539,8.0877,2.5001
4.7968,11.1673,-1.7754,8.4431,2.5001
4.7962,11.1647,-1.7976,8.8064,2.5001
4.7956,11.1623,-1.8204,9.1763,2.5001
4.7949,11.1598,-1.8438,9.5514,2.5001
4.7941,11.1574,-1.8679,9.9296,2.5001
4.7934,11.1551,-1.8925,10.309,2.5001
4.7925,11.1528,-1.9179,10.6871,2.5001
4.7917,11.1505,-1.9438,11.0614,2.5001
4.7907,11.1483,-1.9703,11.4289,2.5001
4.7897,11.1462,-1.9974,11.7866,2.5001
4.7887,11.1441,-2.0251,12.1311,2.5001
4.7876,11.142,-2.0533,12.4592,2.5001
4.7865,11.14,-2.082,12.7673,2.5001
4.7854,11.1381,-2.1112,13.052,2.5001
4.7841,11.1362,-2.1408,13.3099,2.5001
4.7829,11.1343,-2.1708,13.5378,2.5001
4.7815,11.1325,-2.2012,13.7328,2.5001
4.7802,11.1308,-2.2318,13.8921,2.5001
4.7788,11.1291,-2.2627,14.0136,2.5001
4.7773,11.1274,-2.2938,14.0957,2.5001
4.7758,11.1258,-2.325,8.808,2.5001
4.7742,11.1242,-2.3562,1.838,2.5001
4.7727,11.1227,-2.3403,7.5859,2.5
4.7712,11.1211,-2.3239,7.9492,2.5
4.7698,11.1195,-2.3071,8.3288,2.5
4.7685,11.118,-2.2896,8.7249,2.5
4.7671,11.1164,-2.2717,9.1374,2.5
4.7659,11.1148,-2.2531,9.5664,2.5
4.7646,11.1133,-2.234,10.0115,2.5
4.7635,11.1117,-2.2143,10.4723,2.5
4.7624,11.1102,-2.194,10.948,2.5
4.7613,11.1086,-2.1731,11.4378,2.5
4.7603,11.107,-2.1516,11.9403,2.5
4.7593,11.1055,-2.1294,12.4541,2.5
4.7583,11.1039,-2.1066,12.9773,2.5001
4.7575,11.1023,-2.0832,13.5077,2.5001
4.7566,11.1008,-2.0591,14.0426,2.5001
4.7559,11.0992,-2.0344,14.5791,2.5001
4.7551,11.0977,-2.0091,15.1139,2.5001
4.7544,11.0961,-1.9832,15.6431,2.5001
4.7538,11.0945,-1.9567,16.1629,2.5001
4.7532,11.093,-1.9296,16.6687,2.5001
4.7527,11.0914,-1.9019,17.156,2.5001
4.7522,11.0898,-1.8737,17.62,2.5001
4.7518,11.0883,-1.845,18.0557,2.5001
4.7514,11.0867,-1.8158,18.4584,2.5001
4.751,11.0852,-1.7862,18.8231,2.5001
4.7507,11.0836,-1.7561,19.1454,2.5001
4.7505,11.082,-1.7258,19.4211,2.5001
4.7503,11.0805,-1.6952,19.6464,2.5001
4.7501,11.0789,-1.6643,19.8183,2.5001
4.75,11.0773,-1.6332,19.9343,2.5001
4.75,11.0758,-1.602,9.9963,2.5001
4.75,11.0742,-1.5708,9.9963,2.5001
4.75,11.0727,-1.602,19.9343,2.5001
4.7499,11.0711,-1.6332,19.8183,2.5001
4.7497,11.0695,-1.6643,19.6464,2.5001
4.7495,11.068,-1.6952,19.4211,2.5001
4.7493,11.0664,-1.7258,19.1454,2.5001
4.749,11.0648,-1.7561,18.8231,2.5001
4.7486,11.0633,-1.7862,18.4584,2.5001
4.7482,11.0617,-1.8158,18.0557,2.5001
4.7478,11.0602,-1.845,17.62,2.5001
4.7473,11.0586,-1.8737,17.156,2.5001
4.7468,11.057,-1.9019,16.6687,2.5001
4.7462,11.0555,-1.9296,16.1629,2.5001
4.7456,11.0539,-1.9567,15.6431,2.5001
4.7449,11.0523,-1.9832,15.1139,2.5001
4.7441,11.0508,-2.0091,14.5791,2.5001
4.7434,11.0492,-2.0344,14.0426,2.5001
4.7425,11.0477,-2.0591,13.5077,2.5001
4.7417,11.0461,-2.0832,12.9773,2.5001
4.7407,11.0445,-2.1066,12.4541,2.5001
