x,y,psi,kappa,v
2.5547,-0.1097,3.1342,0.0614,6.8044
2.5228,-0.1094,3.1324,0.0368,6.7764
2.4855,-0.109,3.1311,0.0238,6.7392
2.4428,-0.1085,3.1302,0.0163,6.6964
2.3946,-0.1079,3.1294,0.0116,6.6496
2.3411,-0.1073,3.1288,0.0086,6.6
2.2821,-0.1065,3.1283,0.0065,6.5482
2.2177,-0.1056,3.1279,0.005,6.4945
2.1478,-0.1046,3.1276,0.004,6.4392
2.0726,-0.1036,3.1273,0.0032,6.3826
1.9919,-0.1024,3.1271,0.0026,6.3247
1.9058,-0.1011,3.1268,0.0022,6.2656
1.8143,-0.0997,3.1267,0.0018,6.2055
1.7174,-0.0983,3.1265,0.0015,6.1444
1.6151,-0.0967,3.1263,0.0013,6.0825
1.5073,-0.0951,3.1262,0.0011,6.0196
1.3941,-0.0933,3.1261,0.001,5.956
1.2755,-0.0914,3.1259,0.0009,5.8915
1.1515,-0.0895,3.1258,0.0007,5.8263
1.0221,-0.0874,3.1258,0.0007,5.7604
0.8872,-0.0853,3.1257,0.0006,5.6937
0.7469,-0.083,3.1256,0.0005,5.6264
0.6012,-0.0807,3.1255,0.0005,5.5583
0.4501,-0.0783,3.1254,0.0004,5.4895
0.2935,-0.0757,3.1254,0.0004,5.42
0.1316,-0.0731,3.1253,0.0003,5.3498
-0.0358,-0.0704,3.1253,0.0003,5.2792
-0.2086,-0.0675,3.1252,0.0003,5.2132
-0.3868,-0.0646,3.1252,0.0003,5.1463
-0.5705,-0.0616,3.1251,0.0005,5.0783
-0.7595,-0.0584,3.1251,0.0011,5.0095
-0.9428,-0.0554,3.1248,0.0015,4.94
-1.1202,-0.0523,3.1245,0.0017,4.8696
-1.2919,-0.0494,3.1242,0.0019,4.7983
-1.4577,-0.0464,3.1239,0.0021,4.7262
-1.6177,-0.0435,3.1236,0.0023,4.6531
-1.7719,-0.0407,3.1232,0.0026,4.5791
-1.9203,-0.0379,3.1228,0.0029,4.5043
-2.0629,-0.0352,3.1224,0.0033,4.4285
-2.1996,-0.0325,3.122,0.0037,4.352
-2.3306,-0.0299,3.1215,0.0042,4.2747
-2.4557,-0.0273,3.1209,0.0049,4.1966
-2.5751,-0.0247,3.1203,0.0057,4.1177
-2.6886,-0.0223,3.1197,0.0066,4.0382
-2.7963,-0.0198,3.1189,0.0077,3.9581
-2.8982,-0.0174,3.1181,0.0092,3.8775
-2.9943,-0.0151,3.1172,0.011,3.7965
-3.0846,-0.0128,3.1162,0.0134,3.7152
-3.1691,-0.0105,3.115,0.0164,3.6339
-3.2477,-0.0083,3.1137,0.0205,3.5529
-3.3206,-0.0062,3.1121,0.026,3.4724
-3.3876,-0.0041,3.1103,0.0338,3.3931
-3.4488,-0.002,3.1081,0.0449,3.3157
-3.5043,-0.0,3.1055,0.0615,3.2413
-3.5539,0.0019,3.1022,0.0874,3.1715
-3.5977,0.0038,3.0981,0.1301,3.1088
-3.6357,0.0057,3.0928,0.2059,3.0567
-3.6678,0.0075,3.0855,0.3539,3.0195
-3.6942,0.0092,3.075,0.6856,3.0019
-3.7148,0.0109,3.0586,1.6012,3.0023
-3.7295,0.0126,3.0295,5.2266,3.009
